60d0dcc,raylazor,4 days ago,Assn 2 hardware compatibility.
8db25e3,zacharymetz,4 days ago,Moved files
eb4b3ec,zacharymetz,5 days ago,Made exact Change visible in eclipse
2fdb7b5,raylazor,7 days ago,Added package declaration to Main.java. Minor code clearing.
34277b8,Raymond Tran,7 days ago,Updated for Hardware changes, new questions.
885903f,zacharymetz,8 days ago,added begining of exact change algithem
17cd4a0,traymondbiz,8 days ago,Merge pull request #4 from traymondbiz/active
87902be,traymondbiz,8 days ago,Fixed more newlines.
6c40c3b,traymondbiz,8 days ago,Merge pull request #3 from traymondbiz/active
07f4e52,traymondbiz,8 days ago,Fixed the newlines for README.md
ce9c39f,traymondbiz,8 days ago,Merge pull request #2 from traymondbiz/active
2842fab,raylazor,8 days ago,Updated files to reference 'a2' instead of 'a1'.
f9e67a7,traymondbiz,9 days ago,Update README.md
94c15cc,traymondbiz,9 days ago,Update README.md
7b359cf,traymondbiz,9 days ago,Update README.md
2a4a1dc,traymondbiz,9 days ago,Update README.md
f637de1,traymondbiz,9 days ago,Update README.md
18c6cc5,traymondbiz,9 days ago,Update README.md
12997fe,traymondbiz,9 days ago,Update README.md
5e15cd4,traymondbiz,9 days ago,Update README.md
03f2d42,traymondbiz,2 weeks ago,Update README.md
8c25610,T Co,3 weeks ago,Merge pull request #3 from Mondaynity/active
e18a688,T Co,3 weeks ago,Doc updates, access control changes
8b1129d,T Co,3 weeks ago,Merged test suites
270e063,T Co,3 weeks ago,Prettified test cases and added "insufficient funds" case
4fc04ae,T Co,3 weeks ago,Changed PopCanRack capacity to 10
23d40e4,neilchul,3 weeks ago,Add files via upload
34dd4ee,raylazor,3 weeks ago,Ray's completed copy of Assn1 System Tests.
7301a02,raylazor,3 weeks ago,Added two tests. Both for purchasing with invalid amounts.
c565b12,raylazor,3 weeks ago,Added two tests:
7a9fb0b,T Co,3 weeks ago,Fixed the inequality that broke everything
1b4bf1c,T Co,3 weeks ago,Merge branch 'active' of https://github.com/Mondaynity/SENG300 into active
609d8d6,T Co,3 weeks ago,Fixed getCoinKindForCoinRack call to VendingMachine
df2436b,raylazor,3 weeks ago,purposefully made a spelling error
